-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
## Call CompiledFxGraph f6qswtyebqsu74tsqkr2lzl7bqxe...         0.00%       0.000us         0.00%       0.000us       0.000us        1.663s        59.26%        1.663s       4.658ms           357  
                                               aten::mm         1.05%      48.304ms         1.56%      71.743ms      46.647us        1.651s        58.83%        1.651s       1.073ms          1538  
         turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us     994.789ms        35.45%     994.789ms     335.172us          2968  
         turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us     767.834ms        27.36%     767.834ms       1.396ms           550  
void flashinfer::BatchPrefillWithPagedKVCacheKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     452.701ms        16.13%     452.701ms     489.936us           924  
                    vllm::unified_attention_with_output         2.38%     109.521ms         3.54%     162.439ms     410.201us     307.156ms        10.94%     320.801ms     810.104us           396  
              execute_context_3(1951)_generation_97(97)         0.00%       0.000us         0.00%       0.000us       0.000us     248.780ms         8.86%     248.780ms     248.780ms             1  
         turing_fp16_s1688gemm_fp16_128x256_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us     227.955ms         8.12%     227.955ms       2.072ms           110  
              execute_context_3(1952)_generation_96(96)         0.00%       0.000us         0.00%       0.000us       0.000us     217.787ms         7.76%     217.787ms     217.787ms             1  
              execute_context_2(1541)_generation_96(96)         0.00%       0.000us         0.00%       0.000us       0.000us     178.008ms         6.34%     178.008ms     178.008ms             1  
                 execute_context_0(0)_generation_99(99)         0.00%       0.000us         0.00%       0.000us       0.000us     175.981ms         6.27%     175.981ms      35.196ms             5  
                 execute_context_0(0)_generation_98(98)         0.00%       0.000us         0.00%       0.000us       0.000us     147.453ms         5.25%     147.453ms      29.491ms             5  
              execute_context_2(1156)_generation_97(97)         0.00%       0.000us         0.00%       0.000us       0.000us     140.044ms         4.99%     140.044ms     140.044ms             1  
              execute_context_2(1162)_generation_95(95)         0.00%       0.000us         0.00%       0.000us       0.000us     131.726ms         4.69%     131.726ms     131.726ms             1  
               execute_context_1(778)_generation_97(97)         0.00%       0.000us         0.00%       0.000us       0.000us     128.894ms         4.59%     128.894ms     128.894ms             1  
                 execute_context_0(0)_generation_96(96)         0.00%       0.000us         0.00%       0.000us       0.000us     121.603ms         4.33%     121.603ms      30.401ms             4  
               execute_context_2(886)_generation_98(98)         0.00%       0.000us         0.00%       0.000us       0.000us     117.404ms         4.18%     117.404ms     117.404ms             1  
